type,score,x1,y1,x2,y2
0,0.9555778503417969,346.0,122.5,353.5,128.0
0,0.9006257057189941,143.0,104.5,151.0,110.0
0,0.9592434763908386,1936.5,0.0,1943.5,3.5
0,0.9711615443229675,322.5,422.0,330.5,429.0
0,0.9464664459228516,424.5,493.0,433.0,498.0
0,0.8353636264801025,833.5,593.5,841.5,601.0
0,0.767225444316864,165.5,782.5,175.5,788.5
0,0.9471830129623413,373.0,797.0,380.0,803.0
0,0.824184775352478,482.0,674.5,490.5,681.0
0,0.8377645015716553,1003.0,835.5,1010.5,840.0
0,0.9970430731773376,1202.0,816.0,1209.5,823.0
0,0.9337709546089172,550.0,889.5,557.5,896.0
0,0.9948670864105225,1055.5,891.0,1063.5,896.5
0,0.7697972655296326,1014.0,1069.0,1022.0,1074.5
0,0.9986109733581543,1076.0,904.0,1083.0,910.0
0,0.9899497032165527,1095.5,904.5,1102.5,910.0
0,0.982205331325531,1067.0,901.5,1075.0,906.5
0,0.8937806487083435,1114.5,892.5,1123.5,898.5
0,0.8880655765533447,1206.5,1004.0,1214.0,1009.5
0,0.7963815927505493,1104.0,902.5,1111.5,907.0
0,0.9863795638084412,561.0,1153.5,570.5,1160.5
0,0.9932253956794739,1248.0,1498.5,1258.0,1504.5
0,0.8440545797348022,1363.5,1323.0,1370.0,1328.5
0,0.7210686206817627,1901.0,1351.0,1911.5,1358.0
0,0.9112992286682129,124.5,1663.0,133.5,1669.0
0,0.7347782850265503,596.5,1641.0,603.5,1645.5
